X,Y,Z,R
0.0,0.42471894873848876,-1.782272019307177,1.7
0.0,-0.963830844051355,-2.1130226045050726,1.7
0.0,1.3735187838022422,-2.8228945024289414,1.7
0.0,-1.395123265415506,-3.443404425437645,1.7
0.0,0.9405071692372848,-4.145891101857379,1.7
0.0,-0.4333313913389437,-4.454922948315657,1.7
0.0,0.593198284357535,-0.35958417694714095,1.7
0.0,-0.5931994687936584,0.35958431638892935,1.7
0.0,-2.004076861741998,-0.6823211776476524,1.8
0.0,2.004075197525508,0.6823223030627503,1.8
0.0,0.9638308133023964,2.113021696684431,1.7
0.0,-0.42471954485360325,1.782272105826012,1.7
0.0,1.395123413072491,3.443403608460654,1.7
0.0,0.4333320203767018,4.4549225654505396,1.7
0.0,-1.3735187807061726,2.82289497370953,1.7
0.0,-0.9405066471393304,4.145891434759886,1.7
0.0,2.459662741677331,3.6853062041694624,1.2
0.0,0.753813566155979,5.498574696406352,1.2
0.0,-1.6740360425138832,4.954474792226976,1.2
0.0,-2.439686484358483,2.585243363943082,1.2
0.0,2.4396863876597723,-2.5852423127405135,1.2
0.0,1.6740368218704835,-4.954474232668253,1.2
0.0,-0.7538122927112696,-5.498575353347076,1.2
0.0,-2.4596625241520087,-3.685307205886122,1.2
